##X¡¢Y unit mm				
Param	XOffset=3	  YOffset=3.5	XSpan=1.33	YSpan=1.33
##TID(%03d)	I(%02d)	J(%02d)	X(%5.2f)	Y(%5.2f)
229	7	7	7.98	7.98
230	7	8	7.98	9.31
231	7	9	7.98	10.64
232	7	10	7.98	11.97
233	7	11	7.98	13.3
234	7	12	7.98	14.63
235	7	13	7.98	15.96
236	7	14	7.98	17.29
237	7	15	7.98	18.62
238	7	16	7.98	19.95
239	7	17	7.98	21.28
240	7	18	7.98	22.61
241	7	19	7.98	23.94
242	7	20	7.98	25.27
243	7	21	7.98	26.6
244	7	22	7.98	27.93
245	7	23	7.98	29.26
246	7	24	7.98	30.59
247	7	25	7.98	31.92
248	7	26	7.98	33.25
249	7	27	7.98	34.58
250	7	28	7.98	35.91
251	7	29	7.98	37.24
252	7	30	7.98	38.57
253	7	31	7.98	39.9
254	7	32	7.98	41.23
255	7	33	7.98	42.56
256	7	34	7.98	43.89
257	7	35	7.98	45.22
258	7	36	7.98	46.55
259	7	37	7.98	47.88
260	8	1	9.31	0
261	8	2	9.31	1.33
262	8	3	9.31	2.66
263	8	4	9.31	3.99
264	8	5	9.31	5.32
265	8	6	9.31	6.65
266	8	7	9.31	7.98
267	8	8	9.31	9.31
268	8	9	9.31	10.64
269	8	10	9.31	11.97
270	8	11	9.31	13.3
271	8	12	9.31	14.63
272	8	13	9.31	15.96
273	8	14	9.31	17.29
274	8	15	9.31	18.62
275	8	16	9.31	19.95
276	8	17	9.31	21.28
277	8	18	9.31	22.61
278	8	19	9.31	23.94
279	8	20	9.31	25.27
280	8	21	9.31	26.6
281	8	22	9.31	27.93
282	8	23	9.31	29.26
283	8	24	9.31	30.59
284	8	25	9.31	31.92
285	8	26	9.31	33.25
286	8	27	9.31	34.58
287	8	28	9.31	35.91
288	8	29	9.31	37.24
289	8	30	9.31	38.57
290	8	31	9.31	39.9
291	8	32	9.31	41.23
292	8	33	9.31	42.56
293	8	34	9.31	43.89
294	8	35	9.31	45.22
295	8	36	9.31	46.55
296	8	37	9.31	47.88
297	9	1	10.64	0
298	9	2	10.64	1.33
299	9	3	10.64	2.66
300	9	4	10.64	3.99
301	9	5	10.64	5.32
302	9	6	10.64	6.65
303	9	7	10.64	7.98
304	9	8	10.64	9.31
305	9	9	10.64	10.64
306	9	10	10.64	11.97
307	9	11	10.64	13.3
308	9	12	10.64	14.63
309	9	13	10.64	15.96
310	9	14	10.64	17.29
311	9	15	10.64	18.62
312	9	16	10.64	19.95
313	9	17	10.64	21.28
314	9	18	10.64	22.61
315	9	19	10.64	23.94
316	9	20	10.64	25.27
317	9	21	10.64	26.6
318	9	22	10.64	27.93
319	9	23	10.64	29.26
320	9	24	10.64	30.59
321	9	25	10.64	31.92
322	9	26	10.64	33.25
323	9	27	10.64	34.58
324	9	28	10.64	35.91
325	9	29	10.64	37.24
326	9	30	10.64	38.57
327	9	31	10.64	39.9
328	9	32	10.64	41.23
329	9	33	10.64	42.56
330	9	34	10.64	43.89
331	9	35	10.64	45.22
332	9	36	10.64	46.55
333	9	37	10.64	47.88
334	10	1	11.97	0
335	10	2	11.97	1.33
336	10	3	11.97	2.66
337	10	4	11.97	3.99
338	10	5	11.97	5.32
339	10	6	11.97	6.65
340	10	7	11.97	7.98
341	10	8	11.97	9.31
342	10	9	11.97	10.64
343	10	10	11.97	11.97
344	10	11	11.97	13.3
345	10	12	11.97	14.63
346	10	13	11.97	15.96
347	10	14	11.97	17.29
348	10	15	11.97	18.62
349	10	16	11.97	19.95
350	10	17	11.97	21.28
351	10	18	11.97	22.61
352	10	19	11.97	23.94
353	10	20	11.97	25.27
354	10	21	11.97	26.6
355	10	22	11.97	27.93
356	10	23	11.97	29.26
357	10	24	11.97	30.59
358	10	25	11.97	31.92
359	10	26	11.97	33.25
360	10	27	11.97	34.58
361	10	28	11.97	35.91
362	10	29	11.97	37.24
363	10	30	11.97	38.57
364	10	31	11.97	39.9
365	10	32	11.97	41.23
366	10	33	11.97	42.56
367	10	34	11.97	43.89
368	10	35	11.97	45.22
369	10	36	11.97	46.55
370	10	37	11.97	47.88
371	11	1	13.3	0
372	11	2	13.3	1.33
373	11	3	13.3	2.66
374	11	4	13.3	3.99
375	11	5	13.3	5.32
376	11	6	13.3	6.65
377	11	7	13.3	7.98
378	11	8	13.3	9.31
379	11	9	13.3	10.64
380	11	10	13.3	11.97
381	11	11	13.3	13.3
382	11	12	13.3	14.63
383	11	13	13.3	15.96
384	11	14	13.3	17.29
385	11	15	13.3	18.62
386	11	16	13.3	19.95
387	11	17	13.3	21.28
388	11	18	13.3	22.61
389	11	19	13.3	23.94
390	11	20	13.3	25.27
391	11	21	13.3	26.6
392	11	22	13.3	27.93
393	11	23	13.3	29.26
394	11	24	13.3	30.59
395	11	25	13.3	31.92
396	11	26	13.3	33.25
397	11	27	13.3	34.58
398	11	28	13.3	35.91
399	11	29	13.3	37.24
400	11	30	13.3	38.57
401	11	31	13.3	39.9
402	11	32	13.3	41.23
403	11	33	13.3	42.56
404	11	34	13.3	43.89
405	11	35	13.3	45.22
406	11	36	13.3	46.55
407	11	37	13.3	47.88
408	12	1	14.63	0
409	12	2	14.63	1.33
410	12	3	14.63	2.66
411	12	4	14.63	3.99
412	12	5	14.63	5.32
413	12	6	14.63	6.65
414	12	7	14.63	7.98
415	12	8	14.63	9.31
416	12	9	14.63	10.64
417	12	10	14.63	11.97
418	12	11	14.63	13.3
419	12	12	14.63	14.63
420	12	13	14.63	15.96
421	12	14	14.63	17.29
422	12	15	14.63	18.62
423	12	16	14.63	19.95
424	12	17	14.63	21.28
425	12	18	14.63	22.61
426	12	19	14.63	23.94
427	12	20	14.63	25.27
428	12	21	14.63	26.6
429	12	22	14.63	27.93
430	12	23	14.63	29.26
431	12	24	14.63	30.59
432	12	25	14.63	31.92
433	12	26	14.63	33.25
434	12	27	14.63	34.58
435	12	28	14.63	35.91
436	12	29	14.63	37.24
437	12	30	14.63	38.57
438	12	31	14.63	39.9
439	12	32	14.63	41.23
440	12	33	14.63	42.56
441	12	34	14.63	43.89
442	12	35	14.63	45.22
443	12	36	14.63	46.55
444	12	37	14.63	47.88
445	13	1	15.96	0
446	13	2	15.96	1.33
447	13	3	15.96	2.66
448	13	4	15.96	3.99
449	13	5	15.96	5.32
450	13	6	15.96	6.65
451	13	7	15.96	7.98
452	13	8	15.96	9.31
453	13	9	15.96	10.64
454	13	10	15.96	11.97
455	13	11	15.96	13.3
456	13	12	15.96	14.63
457	13	13	15.96	15.96
458	13	14	15.96	17.29
459	13	15	15.96	18.62
460	13	16	15.96	19.95
461	13	17	15.96	21.28
462	13	18	15.96	22.61
463	13	19	15.96	23.94
464	13	20	15.96	25.27
465	13	21	15.96	26.6
466	13	22	15.96	27.93
467	13	23	15.96	29.26
468	13	24	15.96	30.59
469	13	25	15.96	31.92
470	13	26	15.96	33.25
471	13	27	15.96	34.58
472	13	28	15.96	35.91
473	13	29	15.96	37.24
474	13	30	15.96	38.57
475	13	31	15.96	39.9
476	13	32	15.96	41.23
477	13	33	15.96	42.56
478	13	34	15.96	43.89
479	13	35	15.96	45.22
480	13	36	15.96	46.55
481	13	37	15.96	47.88
482	14	1	17.29	0
483	14	2	17.29	1.33
484	14	3	17.29	2.66
485	14	4	17.29	3.99
486	14	5	17.29	5.32
487	14	6	17.29	6.65
488	14	7	17.29	7.98
489	14	8	17.29	9.31
490	14	9	17.29	10.64
491	14	10	17.29	11.97
492	14	11	17.29	13.3
493	14	12	17.29	14.63
494	14	13	17.29	15.96
495	14	14	17.29	17.29
496	14	15	17.29	18.62
497	14	16	17.29	19.95
498	14	17	17.29	21.28
499	14	18	17.29	22.61
500	14	19	17.29	23.94
501	14	20	17.29	25.27
502	14	21	17.29	26.6
503	14	22	17.29	27.93
504	14	23	17.29	29.26
505	14	24	17.29	30.59
506	14	25	17.29	31.92
507	14	26	17.29	33.25
508	14	27	17.29	34.58
509	14	28	17.29	35.91
510	14	29	17.29	37.24
511	14	30	17.29	38.57
512	14	31	17.29	39.9
513	14	32	17.29	41.23
514	14	33	17.29	42.56
515	14	34	17.29	43.89
516	14	35	17.29	45.22
517	14	36	17.29	46.55
518	14	37	17.29	47.88
