##X¡¢Y unit mm	
Param	XOffset=3	  YOffset=5.5	XSpan=.66	YSpan=.66	Rotate=0	Mirror=1	ZoomScale=10
##TID(%03d)	I(%02d)	J(%02d)	X(%5.2f)	Y(%5.2f)
203	3	55	 1.33	35.96
204	3	56	 1.33	36.63
205	3	57	 1.33	37.30
206	3	58	 1.33	37.96
207	3	59	 1.33	38.63
208	3	60	 1.33	39.29
209	3	61	 1.33	39.96
210	3	62	 1.33	40.63
211	3	63	 1.33	41.29
212	3	64	 1.33	41.96
213	3	65	 1.33	42.62
214	3	66	 1.33	43.29
215	3	67	 1.33	43.96
216	3	68	 1.33	44.62
217	3	69	 1.33	45.29
218	3	70	 1.33	45.95
219	3	71	 1.33	46.62
220	3	72	 1.33	47.29
221	3	73	 1.33	47.95
222	3	74	 1.33	48.62
223	4	1	 2.00	 0.00
224	4	2	 2.00	 0.67
225	4	3	 2.00	 1.33
226	4	4	 2.00	 2.00
227	4	5	 2.00	 2.66
228	4	6	 2.00	 3.33
229	4	7	 2.00	 4.00
230	4	8	 2.00	 4.66
231	4	9	 2.00	 5.33
232	4	10	 2.00	 5.99
233	4	11	 2.00	 6.66
234	4	12	 2.00	 7.33
235	4	13	 2.00	 7.99
236	4	14	 2.00	 8.66
237	4	15	 2.00	 9.32
238	4	16	 2.00	 9.99
239	4	17	 2.00	10.66
240	4	18	 2.00	11.32
241	4	19	 2.00	11.99
242	4	20	 2.00	12.65
243	4	21	 2.00	13.32
244	4	22	 2.00	13.99
245	4	23	 2.00	14.65
246	4	24	 2.00	15.32
247	4	25	 2.00	15.98
248	4	26	 2.00	16.65
249	4	27	 2.00	17.32
250	4	28	 2.00	17.98
251	4	29	 2.00	18.65
252	4	30	 2.00	19.31
253	4	31	 2.00	19.98
254	4	32	 2.00	20.65
255	4	33	 2.00	21.31
256	4	34	 2.00	21.98
257	4	35	 2.00	22.64
258	4	36	 2.00	23.31
259	4	37	 2.00	23.98
260	4	38	 2.00	24.64
261	4	39	 2.00	25.31
262	4	40	 2.00	25.97
263	4	41	 2.00	26.64
264	4	42	 2.00	27.31
265	4	43	 2.00	27.97
266	4	44	 2.00	28.64
267	4	45	 2.00	29.30
268	4	46	 2.00	29.97
269	4	47	 2.00	30.64
270	4	48	 2.00	31.30
271	4	49	 2.00	31.97
272	4	50	 2.00	32.63
273	4	51	 2.00	33.30
274	4	52	 2.00	33.97
275	4	53	 2.00	34.63
276	4	54	 2.00	35.30
277	4	55	 2.00	35.96
278	4	56	 2.00	36.63
279	4	57	 2.00	37.30
280	4	58	 2.00	37.96
281	4	59	 2.00	38.63
282	4	60	 2.00	39.29
283	4	61	 2.00	39.96
284	4	62	 2.00	40.63
285	4	63	 2.00	41.29
286	4	64	 2.00	41.96
287	4	65	 2.00	42.62
288	4	66	 2.00	43.29
289	4	67	 2.00	43.96
290	4	68	 2.00	44.62
291	4	69	 2.00	45.29
292	4	70	 2.00	45.95
293	4	71	 2.00	46.62
294	4	72	 2.00	47.29
295	4	73	 2.00	47.95
296	4	74	 2.00	48.62
297	5	1	 2.66	 0.00
298	5	2	 2.66	 0.67
299	5	3	 2.66	 1.33
300	5	4	 2.66	 2.00
301	5	5	 2.66	 2.66
302	5	6	 2.66	 3.33
303	5	7	 2.66	 4.00
304	5	8	 2.66	 4.66
305	5	9	 2.66	 5.33
306	5	10	 2.66	 5.99
307	5	11	 2.66	 6.66
308	5	12	 2.66	 7.33
309	5	13	 2.66	 7.99
310	5	14	 2.66	 8.66
311	5	15	 2.66	 9.32
312	5	16	 2.66	 9.99
313	5	17	 2.66	10.66
314	5	18	 2.66	11.32
315	5	19	 2.66	11.99
316	5	20	 2.66	12.65
317	5	21	 2.66	13.32
318	5	22	 2.66	13.99
319	5	23	 2.66	14.65
320	5	24	 2.66	15.32
321	5	25	 2.66	15.98
322	5	26	 2.66	16.65
323	5	27	 2.66	17.32
324	5	28	 2.66	17.98
325	5	29	 2.66	18.65
326	5	30	 2.66	19.31
327	5	31	 2.66	19.98
328	5	32	 2.66	20.65
329	5	33	 2.66	21.31
330	5	34	 2.66	21.98
331	5	35	 2.66	22.64
332	5	36	 2.66	23.31
333	5	37	 2.66	23.98
334	5	38	 2.66	24.64
335	5	39	 2.66	25.31
336	5	40	 2.66	25.97
337	5	41	 2.66	26.64
338	5	42	 2.66	27.31
339	5	43	 2.66	27.97
340	5	44	 2.66	28.64
341	5	45	 2.66	29.30
342	5	46	 2.66	29.97
343	5	47	 2.66	30.64
344	5	48	 2.66	31.30
345	5	49	 2.66	31.97
