##X¡¢Y unit mm	
Param	XOffset=3	YOffset=1	XSpan=1.33	YSpan=1.33	Rotate=0	Mirror=1	ZoomScale=10
##TID(%03d)	I(%02d)	J(%02d)	X(%5.2f)	Y(%5.2f)
227	6	2	6.65	1.33
228	6	1	6.65	0
229	7	1	7.98	0
230	7	2	7.98	1.33
231	7	3	7.98	2.66
232	7	4	7.98	3.99
233	7	5	7.98	5.32
234	7	6	7.98	6.65
235	7	7	7.98	7.98
236	7	8	7.98	9.31
237	7	9	7.98	10.64
238	7	10	7.98	11.97
239	7	11	7.98	13.3
240	7	12	7.98	14.63
241	7	13	7.98	15.96
242	7	14	7.98	17.29
243	7	15	7.98	18.62
244	7	16	7.98	19.95
245	7	17	7.98	21.28
246	7	18	7.98	22.61
247	7	19	7.98	23.94
248	7	20	7.98	25.27
249	7	21	7.98	26.6
250	7	22	7.98	27.93
251	7	23	7.98	29.26
252	7	24	7.98	30.59
253	7	25	7.98	31.92
254	7	26	7.98	33.25
255	7	27	7.98	34.58
256	7	28	7.98	35.91
257	7	29	7.98	37.24
258	7	30	7.98	38.57
259	7	31	7.98	39.9
260	7	32	7.98	41.23
261	7	33	7.98	42.56
262	7	34	7.98	43.89
263	7	35	7.98	45.22
264	7	36	7.98	46.55
265	7	37	7.98	47.88
266	7	38	7.98	49.21
267	8	38	9.31	49.21
268	8	37	9.31	47.88
269	8	36	9.31	46.55
270	8	35	9.31	45.22
271	8	34	9.31	43.89
272	8	33	9.31	42.56
273	8	32	9.31	41.23
274	8	31	9.31	39.9
275	8	30	9.31	38.57
276	8	29	9.31	37.24
277	8	28	9.31	35.91
278	8	27	9.31	34.58
279	8	26	9.31	33.25
280	8	25	9.31	31.92
281	8	24	9.31	30.59
282	8	23	9.31	29.26
283	8	22	9.31	27.93
284	8	21	9.31	26.6
285	8	20	9.31	25.27
286	8	19	9.31	23.94
287	8	18	9.31	22.61
288	8	17	9.31	21.28
289	8	16	9.31	19.95
290	8	15	9.31	18.62
291	8	14	9.31	17.29
292	8	13	9.31	15.96
293	8	12	9.31	14.63
294	8	11	9.31	13.3
295	8	10	9.31	11.97
296	8	9	9.31	10.64
297	8	8	9.31	9.31
298	8	7	9.31	7.98
299	8	6	9.31	6.65
300	8	5	9.31	5.32
301	8	4	9.31	3.99
